実験時刻2022/05/21 01:30:44, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,た,ル,u,445
2,!,ぜ,u,1219
3,か,&,y,642
4,!,?,u,932
5,&,ゾ,u,826
6,ミ,ぅ,u,918
7,!,ペ,u,1058
8,%,う,u,551
9,ネ,っ,u,1368
10,じ,ぇ,u,901

実験時刻2022/05/21 01:34:02, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,!,い,u,1043
2,さ,お,y,880
3,さ,&,u,530
4,&,こ,y,764
5,&,&,y,1074
6,し,&,u,567
7,チ,%,u,702
8,?,?,y,858
9,サ,ッ,u,471
10,コ,そ,u,614

実験時刻2022/05/21 10:41:01, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,%,く,u,1227
2,&,?,y,842
3,ボ,%,u,597
4,%,デ,u,524
5,%,げ,u,470
6,た,ト,u,683
7,ナ,き,u,698
8,た,て,u,855
9,&,!,u,1543
10,デ,そ,y,788

実験時刻2022/05/22 12:48:23, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ビ,?,u,916
2,ぉ,え,u,960
3,ぐ,が,y,880
4,?,ミ,u,860
5,い,じ,y,755
6,!,づ,u,800
7,マ,く,y,705
8,ぃ,ぎ,y,1088
9,げ,?,u,759
10,あ,ォ,u,714

実験時刻2022/05/22 01:13:10, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,?,で,u,619
2,っ,か,y,686
3,?,ハ,u,636
4,け,%,u,510
5,ニ,ゴ,y,628
6,&,た,u,497
7,ツ,そ,u,1391
8,リ,た,u,734
9,ぐ,ジ,u,1053
10,せ,?,u,534

実験時刻2022/05/22 01:13:55, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,ザ,せ,u,686
2,&,ィ,u,591
3,づ,ス,u,639
4,?,サ,u,519
5,ぎ,!,u,591
6,オ,?,u,479
7,く,ザ,u,990
8,テ,ナ,y,921
9,&,ョ,u,659
10,ニ,?,u,923

実験時刻2022/05/22 01:14:40, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,あ,く,y,1117
2,!,こ,u,641
3,あ,ネ,u,682
4,ハ,ぎ,u,953
5,で,ヘ,u,1014
6,ノ,こ,u,918
7,&,&,y,939
8,マ,!,u,727
9,ャ,ざ,u,838
10,た,&,u,635

実験時刻2022/05/22 01:15:27, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,%,ア,u,1024
2,グ,ヅ,y,899
3,ブ,ォ,y,753
4,ず,セ,u,735
5,ぃ,だ,y,841
6,%,&,y,905
7,ぞ,そ,y,657
8,こ,ィ,u,940
9,ヤ,&,u,694
10,げ,?,u,713

実験時刻2022/05/22 01:16:14, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,&,%,y,683
2,%,%,y,585
3,%,!,y,609
4,&,ケ,u,789
5,づ,%,u,774
6,じ,だ,y,720
7,か,ホ,u,675
8,ビ,セ,y,865
9,く,け,y,528
10,コ,%,u,638

実験時刻2022/05/22 01:17:16, モード4
ステップ, テキスト1, テキスト2, 解答, 経過時間(ミリ秒)
1,&,い,u,678
2,?,%,y,1092
3,ぢ,デ,u,943
4,ォ,ぐ,u,784
5,&,チ,u,840
6,ご,ネ,u,791
7,つ,ぇ,y,701
8,ド,?,u,734
9,!,!,y,616
10,?,!,y,896

